year,Theme name,Sets Name,Set Price,Number of reviews,Star rating
2016,Skylines,London,53.3556,23,4.7
2017,Friends,Puppy Parade,14.5111,1,4.0
2016,Angry Birds,Bird Island Egg Heist,30.5911,2,4.5
2017,Creator 3-in-1,Green Cruiser,12.736885714,6,4.5
2014,Trains,Cargo Train,224.402361905,35,4.4
2018,Speed Champions,Porsche 911 RSR and 911 Turbo 3.0,49.584171429,4,4.8
2020,Bricktober,Ferris Wheel,226.449980952,91,4.9
2020,Bricktober,Carousel,232.252838095,53,4.4
2017,Skylines,Chicago,51.598457143,11,4.8
2016,Town,Jungle,50.3411,2,4.5
2015,Technic,Formula Off-Roader,57.2911,16,4.6
2013,EV3,EV3 Cable Pack,19.594352381,16,4.51413401
2016,Technic,CLAAS XERION 5000 TRAC VC,179.6911,18,4.8
2018,Speed Champions,1968 Ford Mustang Fastback,18.95307619,9,4.9
2018,Speed Champions,Ford Fiesta M-Sport WRC,18.95307619,13,4.5
2012,Educational and Dacta,Starter Kit,32.337209524,10,3.9
2016,Ninjago,Raid Zeppelin,30.5911,8,4.0
1983,Classic Town,Police Station,123.969028571,10,4.7
2021,Avengers,Black Widow,10.0611,4,4.8
2017,Modular Buildings,Assembly Square,303.673928571,99,4.8
2015,Town,Fire Truck,30.794171429,2,5.0
2016,Creator,London Bus,154.405219048,53,4.6
2018,Speed Champions,Porsche 919 Hybrid,18.95307619,3,5.0
2018,Speed Champions,Ferrari Ultimate Garage,128.164266667,2,5.0
2018,Jurassic World,Blue's Helicopter Pursuit,61.934647619,16,4.51413401
2018,Avengers,Sanctum Sanctorum Showdown,129.311885714,7,5.0
2018,Avengers,The Hulkbuster: Ultron Edition,165.583314286,52,3.814285714
2020,LEGO Ideas and CUUSOO,Ship in a Bottle,88.6556,83,4.5
2021,Modular Buildings,Police Station,123.969028571,10,4.7
1985,Classic Town,Airport,29.7816,15,4.556383226
2016,LEGO Ideas and CUUSOO,Caterham Seven 620R,78.9911,51,4.1
2021,City,Family House,50.360361905,16,4.51413401
2015,Technic,Compact Tracked Loader,19.7411,9,4.6
2016,Creator 3-in-1,Twin Spin Helicopter,30.5911,4,5.0
2016,Airport,Airport Starter Set,10.0611,10,4.9
2016,Harbor,Ferry,30.5911,14,4.2
2016,City,Volcano Starter Set,10.0611,7,4.3
2016,Friends,Foal's Washing Station,10.0611,2,5.0
2017,Skylines,Sydney,38.503219048,7,4.6
2016,Creator,Winter Holiday Train,100.6911,77,4.3
2016,Modular Buildings,Brick Bank,192.826171429,115,4.7
2018,Avengers,Outrider Dropship Attack,18.49212381,13,4.8
2018,Avengers,Thor's Weapon Quest,32.40307619,10,4.4
2018,Avengers,Corvus Glaive Thresher Attack,50.703219048,3,4.0
2018,Avengers,The Hulkbuster Smash-Up,44.301314286,13,4.8
2018,Avengers,Thanos: Ultimate Battle,102.34607619,17,4.661904762
2018,Town,Farm Animals,12.10307619,16,4.51413401
2018,Brickheadz,Go Brick Me,37.418457143,13,4.647619048
2018,Jurassic World,Pteranodon Chase,30.489742857,2,4.504761905
2018,Jurassic World,Stygimoloch Breakout,48.422266667,2,5.0
2018,Jurassic World,Carnotaurus Gyrosphere Escape,101.94607619,1,5.0
2018,Jurassic World: Fallen Kingdom,Pteranodon Escape,28.476409524,16,4.51413401
2018,Jurassic World: Fallen Kingdom,Raptor Rescue Truck,35.604171429,16,4.51413401
2018,Juniors,The Great Home Escape,43.001314286,6,4.83804467
2018,Juniors,Underminer Bank Heist,35.778457143,16,4.51413401
2018,Jurassic World,Jurassic Park Velociraptor Chase,62.472742857,4,5.0
2022,Easter,Easter Bunny,12.378790476,4,5.0
2018,Classic,Bricks on a Roll,32.002231579,16,4.51413401
2022,Technic,Telehandler,39.4911,6,4.8
2022,Jurassic World,T. rex Breakout,63.544171429,16,4.51413401
2022,Jurassic World,Pteranodon Chase,30.489742857,2,4.504761905
2018,Technic,Bugatti Chiron,18.915933333,19,4.9
2022,Brick Sketches,Iron Man,10.0611,8,4.9
2014,Architecture,The Eiffel Tower,42.467028571,53,4.6
2018,Star Wars,Yoda's Hut,37.123219048,7,4.571428571
2005,Factory,Airport,29.7816,15,4.556383226
2010,Airport,Airport,29.7816,15,4.556383226
2013,Trains,My First Train Set,62.331790476,11,4.7
2007,Fire,Fire Station,121.721409524,16,4.6
1992,Technic,Touch Sensor,22.91625,13,3.8
2017,Police,Tow Truck Trouble,24.485933333,8,4.3
1966,Vehicle,London Bus,154.405219048,53,4.6
2020,Police,Police Helicopter Chase,10.0611,16,4.51413401
2020,Police,Police Station,123.969028571,10,4.7
2016,Friends,Heartlake Riding Club,80.974647619,5,5.0
2014,Star Wars,The Phantom,30.5911,25,3.8
2006,Technic,Fire Truck,30.794171429,2,5.0
2016,City,Volcano Exploration Truck,24.1911,6,4.8
1978,Classic Town,Police Patrol,18.080695238,1,4.0
2006,Star Wars,Slave I,246.829978947,201,4.8
1977,Basic Set,Police Station,123.969028571,10,4.7
2017,Technic,Air Race Jet,159.40712381,7,4.9
2010,Trains,Cargo Train,224.402361905,35,4.4
2017,Technic,Ultralight Helicopter,20.144028571,9,4.7
2020,Technic,Buggy,10.0611,7,4.9
2020,Creator 3-in-1,Monster Truck,24.100219048,4,5.0
2020,Creator 3-in-1,Propeller Plane,19.7411,7,4.9
2020,City,Monster Truck,24.100219048,4,5.0
2016,Creator Expert,Volkswagen Beetle,117.088933333,66,4.9
2016,Technic,Porsche 911 GT3 RS,373.654880952,143,4.7
2016,Star Wars,Krennic's Imperial Shuttle,120.431885714,39,4.4
2017,Creator 3-in-1,Beachside Vacation,30.5911,5,4.2
2016,Creator Expert,Big Ben,282.102361905,64,4.6
2016,Skylines,New York City,64.734647619,37,4.2
2017,Classic,Creative Box,44.800284211,2,4.5
2016,Justice League,Kryptonite Interception,30.5911,18,4.6
1988,Futuron,Hovercraft,90.998457143,5,4.2
2016,City,Volcano Exploration Base,118.4911,9,4.6
2015,Town,Fire Boat,78.9911,2,4.5
2010,Creator Expert,Tower Bridge,283.520457143,228,4.8
2015,Avengers,The Hulk,10.0611,8,4.6
2017,Friends,Puppy Championship,19.7411,16,4.51413401
2008,Technic,Cherry Picker,12.3411,4,4.8
2016,Town,Big Construction Site,72.703219048,1,5.0
2018,Jurassic World,Dilophosaurus Outpost Attack,62.472742857,1,3.595238095
2018,Brickheadz,Owen & Blue,24.494504762,1,5.0
2018,LEGO Ideas and CUUSOO,TRON: Legacy,43.170838095,30,4.4
2014,Police,Police Station,123.969028571,10,4.7
2018,Brickheadz,Iron Man MK50,12.415933333,3,4.7
2018,Brickheadz,Star-Lord,12.415933333,1,5.0
2018,Brickheadz,Gamora,12.415933333,1,5.0
2018,Brickheadz,Thanos,12.415933333,2,5.0
2018,Brickheadz,Mr. Incredible & Frozone,24.494504762,1,5.0
2018,Star Wars,Imperial Patrol Battle Pack,18.954028571,5,5.0
2018,Brickheadz,Marty McFly & Doc Brown,24.494504762,1,5.0
2018,Juniors,Elastigirl's Rooftop Pursuit,31.008790476,6,4.83804467
2005,Trains,Deluxe Train Set,142.164266667,22,4.1
2018,Town,Farm Adventures,74.403219048,16,4.51413401
2018,Jurassic World,T. rex Tower,36.044647619,16,4.51413401
2016,Justice League,Clash of the Heroes,12.7311,30,4.3
